Id,trans_hour,trans_day,trans_month,trans_year,category,upi_number,age,trans_amount,state,zip,fraud_risk
0,0,1,1,2022,12,9957000001,54,66.21,22,49879,0
1,1,1,1,2022,3,9957000002,15,55.81,14,62668,0
2,3,1,1,2022,8,9957000003,60,8.68,4,96037,0
3,6,1,1,2022,4,9957000004,44,89.52,40,29911,0
4,6,1,1,2022,0,9957000005,72,1.9,38,16421,0
5,8,1,1,2022,3,9957000006,24,61.74,15,46765,0
6,13,1,1,2022,11,9957000007,41,23.25,18,70808,0
7,19,1,1,2022,10,9957000008,75,81.94,35,45860,0
8,19,1,1,2022,10,8753000004,48,71.86,49,24927,0
9,20,1,1,2022,10,8753000005,66,69.54,36,73754,0
10,20,1,1,2022,0,9132000000,19,34.5,17,42171,0
11,21,1,1,2022,6,9132000001,38,16.58,49,25526,0
12,1,1,2,2022,4,9132000002,30,281.06,27,28611,1
13,1,1,2,2022,2,9132000003,58,11.52,43,78208,1
14,3,1,2,2022,4,9132000004,58,276.31,43,78208,1
15,3,1,2,2022,4,8753000011,52,137.47,38,17929,0
16,3,1,2,2022,2,8753000012,30,7.03,27,28611,1
17,3,1,2,2022,4,8753000013,47,42.41,22,48174,0
18,3,1,2,2022,4,8753000014,58,275.73,43,78208,1
19,4,1,2,2022,2,8753000015,56,52.37,38,16878,0
20,4,1,2,2022,8,9957000021,37,170.98,48,53129,0
21,5,1,2,2022,9,8876000013,79,1.48,35,43160,0
22,13,1,2,2022,11,8876000014,30,844.8,27,28611,1
23,14,1,2,2022,6,8876000015,21,3.77,16,67020,0
24,15,1,2,2022,10,8876000016,20,7.27,46,5461,0
25,15,1,2,2022,1,8876000017,35,3.16,43,79539,0
26,23,1,2,2022,8,9957000027,30,843.91,27,28611,1
27,1,1,3,2022,1,9957000028,51,41.39,22,48221,0
28,1,1,3,2022,2,9957000029,58,10.76,43,78208,1
29,1,1,3,2022,4,9957000030,58,332.35,43,78208,1
30,3,1,3,2022,4,9957000031,58,315.34,43,78208,1
31,8,1,3,2022,2,9957000032,33,71.17,36,73027,0
32,9,1,3,2022,8,7664000007,61,5.68,2,71832,0
33,15,1,3,2022,1,7664000008,59,9.06,49,25049,0
34,16,1,3,2022,4,7664000009,77,337.05,38,15665,1
35,18,1,3,2022,12,7664000010,77,711.66,38,15665,1
36,18,1,3,2022,5,7664000011,28,20.29,34,12419,0
37,19,1,3,2022,12,9957000038,24,726.22,31,7439,0
38,21,1,3,2022,9,9957000039,25,7.92,27,28314,0
39,21,1,3,2022,11,9957000040,40,400,42,37132,0
40,21,1,3,2022,6,9957000041,59,33.39,4,94569,0
41,22,1,3,2022,5,9957000042,53,89.33,49,25442,0
42,22,1,3,2022,8,9957000043,77,707.5,38,15665,1
43,22,1,3,2022,11,9957000044,30,942.62,27,28611,1
44,22,1,3,2022,13,9957000045,77,4.5,38,15665,1
45,23,1,3,2022,5,9957000046,52,200.86,23,56592,0
46,23,1,3,2022,12,9957000047,30,821.96,27,28611,1
47,23,1,3,2022,11,9957000048,30,1092.68,27,28611,1
48,23,1,3,2022,11,9957000049,30,1254.27,27,28611,1
49,23,1,3,2022,4,9957000050,58,274.09,43,78208,1
50,0,1,4,2022,3,9957000051,79,14.37,0,99783,1
51,2,1,4,2022,4,9957000052,77,316.93,38,15665,1
52,2,1,4,2022,4,9957000053,77,327.68,38,15665,1
53,6,1,4,2022,8,9957000054,34,5.9,9,33981,0
54,7,1,4,2022,11,9957000055,56,17.68,34,14537,0
55,9,1,4,2022,4,9957000056,43,43.75,43,78248,0
56,9,1,4,2022,9,9957000057,48,250.02,21,4226,0
57,13,1,4,2022,6,9957000058,40,76.87,9,33811,0
58,14,1,4,2022,5,9957000059,84,16.27,27,27249,0
59,15,1,4,2022,11,9957000060,79,966.11,0,99783,1
60,15,1,4,2022,8,9957000061,77,795.22,38,15665,1
61,15,1,4,2022,11,9957000062,40,9.05,32,87117,0
62,15,1,4,2022,12,9957000063,77,1015.8,38,15665,1
63,20,1,4,2022,7,9957000064,59,92.78,17,41810,0
